Restaurant,VEG/NON-VEG,Cuisine,Budget,Smoking allowance,alcohol allowance,,,Rambience,Area,Other Services
Aahar Vihar,veg/non-veg,North Indian,low,allowed,allowed,,,,,
Aman Restaurant,veg/non-veg,North Indian,med,not allowed,not allowed,,,,,
Apsara Restaurant,veg/non-veg,chinese,low,not allowed,not allowed,,,,,
Ayyar's Cafï¿½,veg,south indian,med,not allowed,not allowed,,,,,
Banana Leaf,veg,"North Indian, south indian",low,not allowed,not allowed,,,,,
Bindaas(HG),veg/non-veg,north indian,low,not allowed,not allowed,,,,,
Bindaas restaurant and dhaba(highway),veg/non-veg,north indian,low,allowed,allowed,,,,,
Brown Bread Bakery,veg,bakery,low,not allowed,not allowed,,,,,
Bikanerwala,veg,north indian,med,not allowed,not allowed,,,,,
Banarasi Tadka,veg/non-veg,north indian,low,not allowed,not allowed,,,,,
Blue lassi,veg,north indian,med,not allowed,not allowed,,,,,
Brown Bread Cafï¿½ ans german bakery,veg,bakery,med,not allowed,not allowed,,,,,
Brownie Restaurant,veg/non-veg,"North Indian, south indian,italian,chinese",med,not allowed,not allowed,,,,,
Cafï¿½ Coffee Day,veg,café,med,not allowed,not allowed,,,,,
Cafï¿½ Happyness,veg/non-veg,café,med,not allowed,not allowed,,,,,
Canton royale,veg/non-veg,north indian,med,not allowed,not allowed,,,,,
Chestnuts,veg/non-veg,bakery,low,not allowed,not allowed,,,,,
Chrystal Bowl,veg,north indian,med,not allowed,not allowed,,,,,
Dolphin Restaurant,veg/non-veg,north indian,med,not allowed,not allowed,,,,,
Domino's Pizza,veg/non-veg,italian,med,not allowed,not allowed,,,,,
Dosa Cafï¿½,veg,south indian,low,not allowed,not allowed,,,,,
Eden Restaurant,veg/non-veg,"north indian,chinese",med,not allowed,not allowed,,,,,
Fasket Outlet,veg,north indian,low,not allowed,not allowed,,,,,
Flavours Cafï¿½,veg/non-veg,"north indian,italian",low,not allowed,not allowed,,,,,
Flour and Beans,veg,café,low,not allowed,not allowed,,,,,
Ganga Fuji Restaurant,veg/non-veg,north indian/chinese,low,not allowed,not allowed,,,,,
Haifa Restaurant,veg,north indian,low,not allowed,not allowed,,,,,
Hayat Mediterranean,veg/non-veg,italian,low,not allowed,not allowed,,,,,
Hindustan Restaurant,veg/non-veg,north indian,low,not allowed,not allowed,,,,,
I:ba,veg/non-veg,north indian,low,not allowed,not allowed,,,,,
J.S Residency,veg/non-veg,"north indian,italian",med,only at bar,only at bar,,,,,
Kashi Chat Bhandar,veg,noth indian,low,not allowed,not allowed,,,,,
Kerala Cafï¿½,veg,south indian,low,not allowed,not allowed,,,,,
Keshari Restaurant,veg/non-veg,north indian,low,not allowed,not allowed,,,,,
Ksheer Sagar,vegetarian,desserts,med,not allowed,not allowed,,,,,
Lemon Grass Fine Dine& Lounge Bar,veg/non-veg,"north indian,chiese",low,only at bar,only at bar,,,,,
Lotus Lounge,veg/non-veg,"north indian,chinese",low,not allowed,not allowed,,,,,
Madhur Milan Cafï¿½,veg/non-veg,south indian,low,not allowed,not allowed,,,,,
Ming Garden,veg,chinese,low,not allowed,not allowed,,,,,
Orchids,veg,north indian,med,not allowed,not allowed,,,,,
New Keshari Ruchikar Byanjan,veg,"north indian,south indian",low,not allowed,not allowed,,,,,
Pizzeria Vatika Cafï¿½,veg,italian,med,not allowed,not allowed,,,,,
Raddison Hotel,veg/non-veg,north indian,high,not allowed,allowed,,,,,
Ramada Plaza,veg/non-veg,"north indian,chinese",high,not allowed,allowed,,,,,
Rasna,veg/non-veg,"north indian,chinese",med,not allowed,not allowed,,,,,
Re-fresh Restaurant,veg,north indian,low,not allowed,not allowed,,,,,
Saffron,veg,north indian,med,not allowed,not allowed,,,,,
Sha Chicken Hut,non-veg,north indian,low,not allowed,not allowed,,,,,
Shyamal Restaurant,veg/non-veg,north indian,low,not allowed,not allowed,,,,,
Sri Annapurna Restaurant and Sweets,veg,"north indian,south indian",low,not allowed,not allowed,,,,,
Sri Naivedyam,veg,"north indian,south indian,chinese",low,not allowed,not allowed,,,,,
Tandoor Villa,veg/non-veg,"north indian,chinese",low,not allowed,not allowed,,,,,
Tit Bit Cafï¿½ at Home,veg,north indian,med,not allowed,not allowed,,,,,
The Great Kabab Factory,veg/non-veg,north indian,low,not allowed,not allowed,,,,,
Varuna Restaurant,veg/non-veg,north indian,low,not allowed,not allowed,,,,,
